Den,Čas,Místnost,Typ akce,Četnost,Vyučující,Kapacita,Výjimky,Poznámka
Pondělí,11:00-12:30,NB D,Přednáška,Každý týden,"Ing. Karel Pernica, Ph.D.",200,,-
Úterý,09:15-10:45,SB 228,Cvičení,Každý týden,-,25,,-
Úterý,14:30-16:00,RB 207,Cvičení,Každý týden,-,25,,-
Úterý,14:30-16:00,SB 305,Cvičení,Každý týden,"Ing. Petra Štamfestová, Ph.D.",25,,-
Středa,09:15-10:45,SB 304,Cvičení,Každý týden,"Ing. Karel Pernica, Ph.D.",25,,-
Středa,12:45-14:15,SB 308,Cvičení,Každý týden,"doc. Ing. Hana Mikovcová, Ph.D.",25,,-
Středa,18:00-19:30,SB 213,Cvičení,Každý týden,"Ing. Petra Štamfestová, Ph.D.",25,,-
Čtvrtek,09:15-10:45,SB 230,Cvičení,Každý týden,"doc. Ing. Hana Mikovcová, Ph.D.",21,,-
Čtvrtek,12:45-14:15,SB 412,Cvičení,Každý týden,"doc. Ing. Hana Mikovcová, Ph.D.",25,,-
