Den,Čas,Místnost,Typ akce,Četnost,Vyučující,Kapacita,Výjimky,Poznámka
Úterý,11:00-12:30,NB B,Přednáška,Každý týden,"prof. Ing. Alena Buchalcevová, Ph.D.",180,,-
Úterý,12:45-14:15,SB 204,Cvičení,Každý týden,"Ing. Filip Vencovský, Ph.D.",30,,-
Středa,09:15-10:45,SB 202,Cvičení,Každý týden,Bc. Šimon Šubík,30,,-
Středa,11:00-12:30,SB 204,Cvičení,Každý týden,Bc. Šimon Šubík,30,,-
Středa,14:30-16:00,SB 108,Cvičení,Každý týden,"Ing. Filip Vencovský, Ph.D.",30,,-
Pátek,11:00-12:30,SB 108,Cvičení,Každý týden,Bc. Jan Veverka,30,,-
Pátek,12:45-14:15,SB 207,Cvičení,Každý týden,Bc. Jan Veverka,30,,-
